session_id,starttime,adult,ambiguous,assessor,cannot_judge,navigational,no_wp,non_english,quote_question,text
yahoo-1,3,false,false,1,false,false,false,false,false,gemini compatibility
yahoo-1,4,false,true,1,false,true,false,false,false,amazon
yahoo-1,5,false,false,1,false,false,false,false,false,dancing with the stars
yahoo-1,6,false,false,1,false,false,false,false,false,nurses sue douglas kennedy
yahoo-1,7,false,false,1,false,false,false,false,false,aetna
yahoo-2,1,false,false,1,false,false,false,false,true,does rye bread have wheat in it
yahoo-3,1,false,false,1,false,false,false,false,false,nordstrom
yahoo-4,1,false,true,1,false,true,false,false,false,reverbnation
yahoo-5,1,false,false,1,false,false,false,false,false,skype
yahoo-5,2,false,false,1,false,false,false,false,false,skype for mac
yahoo-6,1,false,false,1,false,false,false,false,false,louisville courier journal
yahoo-6,2,false,false,1,false,false,false,false,false,ncaa football scores
yahoo-6,5,false,false,1,false,true,false,false,false,syracuse.com
yahoo-6,24,false,false,1,false,false,false,false,false,rochester democrat and chronicle
yahoo-6,30,false,false,1,false,false,false,false,false,onondaga community college
yahoo-6,32,false,false,1,false,false,false,false,false,american hockey league
yahoo-6,39,false,false,1,false,false,false,false,false,albany times union
yahoo-6,40,false,false,1,false,false,false,false,false,minneapolis star tribune
yahoo-6,41,false,false,1,false,false,false,false,false,southeast conference
yahoo-6,42,false,false,1,false,false,false,false,false,atlantic coast conference
yahoo-6,43,false,false,1,false,false,false,false,false,big east
yahoo-8,1,false,false,1,false,false,false,false,false,yahoo mail
yahoo-9,1,false,false,1,false,false,false,false,false,"google,com"
yahoo-13,2,false,false,1,false,false,false,false,false,lark voorhies
yahoo-13,3,false,false,1,false,false,false,false,false,presidential polls
yahoo-13,4,false,false,1,false,false,false,false,false,yahoo! dating
yahoo-13,5,false,false,1,false,false,false,false,false,yahoo! profile
yahoo-13,6,false,false,1,false,false,false,false,false,presidents
yahoo-13,7,false,false,1,false,false,false,false,false,presidents day 2012
yahoo-13,8,false,false,1,false,false,false,false,false,presidents email
yahoo-13,9,false,false,1,false,false,false,false,false,presidents elected
yahoo-13,11,false,false,1,false,false,false,false,false,presidents elected without popular vote
yahoo-13,17,false,true,1,false,true,false,false,false,facebook log
yahoo-13,18,false,false,1,false,false,false,false,false,nesquik recall
yahoo-13,19,false,false,1,false,true,false,false,false,yahoo! mail
yahoo-13,20,false,false,1,false,true,false,false,false,yahoo
yahoo-13,21,false,false,1,false,true,false,false,false,yahoo mail
yahoo-13,22,false,false,1,false,true,false,false,false,yahoo mail india
yahoo-13,23,false,false,1,false,true,false,false,false,yahoo mail plus
yahoo-13,24,false,false,1,false,true,false,false,false,facebook log in
yahoo-14,1,false,false,1,false,false,false,false,false,former mouseketeer dies
yahoo-15,3,false,false,1,false,false,false,false,false,mimeo board
yahoo-16,1,false,false,1,false,false,false,false,false,widows
yahoo-16,2,false,false,1,false,false,false,false,false,windows xp
yahoo-16,3,false,false,1,false,false,false,false,false,windows xp 8
yahoo-17,1,false,false,1,false,false,false,false,false,cast of starship troopers 2
